sn	sess	chordID	num_trials	accuracy	num_fingers	MD	MT	RT	ET	MD_std	MT_std	RT_std	ET_std	diff_force_f1	diff_force_f2	diff_force_f3	diff_force_f4	diff_force_f5	force_f1	force_f2	force_f3	force_f4	force_f5	force_e1	force_e2	force_e3	force_e4	force_e5
 9	1	99121	5	  1	3	   1.062194	     1262	    340.8	   1602.8	  0.2036643	 285.26829	246.63171	  516.468	     0.43792	   -0.397532	    2.76094	    -2.72072	     1.78006	   -0.590976	   0.2070444	   -0.701757	     2.43112	   -0.780312	    -0.153082	    -0.190472	     2.059168	    -0.289608	     0.999768
 9	1	99211	5	  1	3	   0.755934	    519.6	    289.6	    809.2	  0.8036152	 474.15483	224.79057	582.46305	   0.0133156	   -0.335914	   -3.41702	     1.95952	     2.08432	   -0.712124	  0.06435002	     3.13083	   -0.611878	   -0.608936	      -0.6988	    -0.271578	   -0.2862082	      1.34764	      1.47542
 9	1	12299	5	  1	3	   0.370634	    263.2	    509.6	    772.8	  0.3772289	 214.92603	378.07777	587.47357	     2.53232	    -3.64406	   -3.29256	     0.33712	  0.01545898	   -1.021162	     3.64442	    3.292224	   -0.357596	 -0.01521082	      1.51114	  0.000251742	-0.0003858974	   -0.0204572	  0.000285484
 9	1	12929	5	  1	3	    1.12736	   1231.2	    801.6	   2032.8	  0.6463285	 1128.9275	720.02556	1485.9876	     2.59984	    -3.00456	   0.118482	    -2.38738	   -0.189454	    -1.18566	     3.00476	   0.5578836	     2.22676	   0.1890766	      1.41418	 0.0001539978	    0.6763658	    -0.160652	 -0.000344666
 9	1	12992	5	  1	3	   1.241662	   1672.4	    478.8	   2151.2	  0.4233733	  451.8637	199.71279	514.02646	     2.26734	    -4.31938	    0.48495	  -0.1544454	    -1.95276	    -1.17796	     4.31946	     0.10406	    0.190935	     1.80832	      1.08939	 0.0001342078	    0.5890182	   0.03649812	    -0.144424
 9	1	19229	5	  1	3	   0.575864	    289.6	    270.8	    560.4	  0.5659092	  237.4422	310.63998	526.26305	      2.9949	   0.3715056	   -3.19694	    -2.38232	    -0.39913	    -1.76868	  -0.2816238	    2.757808	      1.6817	    0.271996	     1.226242	   0.08989123	     -0.43906	    -0.700632	   -0.1271398
 9	1	19292	5	  1	3	   0.683906	   1155.6	    232.8	   1388.4	  0.3368333	  987.1235	134.74123	924.03074	     2.49296	  0.05400362	    -2.9924	   -0.008564	    -2.17044	    -0.96563	  -0.0057144	     2.70052	    0.054484	     1.49282	      1.52732	   0.04831742	   -0.2918778	     0.045916	    -0.677608
 9	1	19922	5	  1	3	   0.983466	    793.6	    393.2	   1186.8	  0.2716165	 389.81124	147.02789	452.70653	     2.64112	   -0.252876	  0.2777274	    -1.91364	    -2.05242	    -1.20598	    0.252636	   0.3879248	     1.78778	      2.0523	      1.43516	 -0.000322102	    0.6656704	    -0.125742	-0.0001048196
 9	1	21299	5	  1	3	  0.1149472	    116.4	    290.4	    406.8	 0.08461798	  81.87063	328.61649	407.62385	     -3.2679	      3.3396	   -2.88288	   -0.261138	     0.37682	     1.76764	   -1.075236	    2.936516	  -0.0399796	   -0.323606	      -1.5003	      2.26434	   0.05363606	    -0.301084	    0.0531754
 9	1	21929	5	  1	3	   0.720828	    892.4	      454	   1346.4	   0.328651	 661.87673	194.41193	736.76781	    -2.58838	     3.14808	 -0.0063804	     -2.0688	   -0.547214	     2.00352	   -0.661424	    0.297333	     1.68152	    0.385968	    -0.584952	      2.48666	    0.2909375	    -0.387322	    -0.161206
 9	1	21992	4	0.8	3	    1.24365	   2232.5	      690	   2922.5	  0.4178896	  2231.242	  248.317	2465.0016	   -3.175075	    3.135775	 -0.1184072	    -0.05086	   -1.597725	       2.807	    -0.47889	   0.9486885	   0.0918975	      1.5973	   -0.3680425	       2.6569	    0.8302613	   0.04104295	-0.0003788438
 9	1	22199	5	  1	3	  0.6176768	      464	    360.8	    824.8	  0.4297463	 363.61243	170.90114	482.06556	    -3.03146	    -3.58914	    3.70354	  -0.0360746	   -0.391578	     2.23276	     3.39846	  -0.5869788	  -0.1186194	    0.326224	     -0.79871	    -0.190694	     3.116554	    -0.154704	   -0.0653366
 9	1	22919	4	0.8	3	    1.06709	      694	    476.5	   1170.5	  0.6477304	 478.75115	 461.6994	 939.5224	   -4.020625	    -3.38705	  0.2619008	     1.64185	   0.1446432	    3.743225	      3.3869	   0.8503002	  -0.5177525	  -0.0981755	   -0.2774325	-0.0002175635	     1.112214	     1.124075	   0.04646165
 9	1	22991	5	  1	3	    0.62182	    662.8	    311.2	      974	  0.4438572	 523.27928	207.48301	723.43901	    -3.09348	     -2.5913	   0.360932	    0.246575	     2.00446	     1.87956	     2.59108	   0.3869198	    -0.28479	    -0.58712	    -1.213906	-0.0002267708	    0.7478652	   -0.0382518	      1.41732
 9	1	29129	5	  1	3	   0.820608	      928	      390	     1318	  0.3295801	 487.68637	192.05728	647.38706	    -2.90992	  -0.3189248	      3.827	    -1.84788	   0.2375628	     2.29908	   0.1892364	  -0.5099174	      1.7055	   -0.181949	    -0.610842	    -0.129656	     3.317082	    -0.142402	   0.05559936
 9	1	29192	5	  1	3	   0.934782	   1508.8	      376	   1884.8	  0.4296989	 881.00919	133.10898	 964.9058	    -2.88744	   -0.452174	    4.12176	   -0.283862	    -1.82256	     2.09606	    0.452324	  -0.7120792	    0.311958	     1.67802	    -0.791406	 0.0001792288	     3.409694	   0.02809508	    -0.144552
 9	1	29219	5	  1	3	   0.659364	     1540	      536	     2076	  0.2714375	  2180.759	355.39274	2086.3662	    -4.01482	   0.1897383	    -4.0989	     1.64754	   0.1570608	     3.50178	    0.019671	    4.291942	   -0.389162	   0.0044932	    -0.513056	     0.209435	    0.1930136	       1.2584	     0.161581
 9	1	29291	5	  1	3	   1.355408	   1286.8	    573.6	   1860.4	  0.4854359	 404.10543	302.68598	563.64244	     -3.1398	   0.2124016	    -3.6522	 -0.03876006	     2.35384	     1.49414	    -0.34415	    2.967382	   -0.318268	    -0.81704	     -1.64568	   -0.1317442	   -0.6848224	    -0.357032	      1.53676
 9	1	29912	5	  1	3	    1.52302	   3927.2	    416.8	     4344	  0.2661798	 2430.1854	54.874402	2425.9485	    -4.26204	  -0.0923924	-0.08964472	      1.6793	    -2.14354	      3.6427	   0.0918492	   0.2388515	     -1.0884	     1.72382	     -0.61926	 -0.000538614	    0.1492181	     0.590876	     -0.41974
 9	1	29921	5	  1	3	   1.238458	    876.4	      130	   1006.4	  0.4462224	 716.23376	 75.53807	701.75409	    -3.76314	    0.210753	   0.518616	    -2.52426	      2.3685	     2.86016	  0.01106448	    1.013006	     2.06394	   -0.433842	     -0.90297	    0.2218288	     1.531662	    -0.460242	      1.93464
